date,original,close
"May 1, 2022",1.001649,1
"May 2, 2022",1.001400,1
"May 3, 2022",1.000244,1
"May 4, 2022",0.999365,1
"May 5, 2022",0.999546,1
"May 6, 2022",0.999624,1
"May 7, 2022",0.996868,1
"May 8, 2022",0.996401,1
"May 9, 2022",0.793393,0.793393
"May 10, 2022",0.799919,0.6651233333333333
"May 11, 2022",0.801137,0.5368536666666667
"May 12, 2022",0.408584,0.408584
"May 13, 2022",0.154002,0.154002
"May 14, 2022",0.196442,0.14481266666666667
"May 15, 2022",0.176657,0.13562333333333332
"May 16, 2022",0.126434,0.126434
"May 17, 2022",0.130309,0.1086975
"May 18, 2022",0.090961,0.090961
"May 19, 2022",0.076013,0.076013
"May 20, 2022",0.066265,0.066265
"May 21, 2022",0.056482,0.056482
"May 22, 2022",0.064290,0.05286866666666666
"May 23, 2022",0.071370,0.04925533333333333
"May 24, 2022",0.070003,0.045642
"May 25, 2022",0.094631,0.042028666666666666
"May 26, 2022",0.063919,0.03841533333333333
"May 27, 2022",0.034802,0.034802
"May 28, 2022",0.028786,0.028786
"May 29, 2022",0.026768,0.026768
"May 30, 2022",0.025113,0.025113
"May 31, 2022",0.021439,0.021439
"Jun 1, 2022",0.016059,0.016059
"Jun 2, 2022",0.019940,0.01601825
"Jun 3, 2022",0.019335,0.0159775
"Jun 4, 2022",0.018234,0.01593675
"Jun 5, 2022",0.015896,0.015896
"Jun 6, 2022",0.015801,0.015801
"Jun 7, 2022",0.013431,0.013431
"Jun 8, 2022",0.009796,0.009796
"Jun 9, 2022",0.011466,0.0097475
"Jun 10, 2022",0.009699,0.009699
"Jun 11, 2022",0.008720,0.00872
"Jun 12, 2022",0.009822,0.008549000000000001
"Jun 13, 2022",0.008378,0.008378
"Jun 14, 2022",0.008099,0.008099
"Jun 15, 2022",0.007789,0.007789
"Jun 16, 2022",0.006929,0.006929
